,,,,,,,,,,,,Personalities,,,,,,,,,-------->,,GLOBAL,,,,SPANISH,,,,PORTUGUESE,,,,,,,,
,App Id,Desktop Id,Exec,Try Exec,Original Name,Type,Source,Category,VGA,Internal Notes,Localized?,All,Default,English (Global),Brazil,GT,MX,Positivo,Description & Notes for Externals,,APP STORE,,Name,Subtitle,Description,,Name,Subtitle,Descriptions,,Name,Subtitle,Description,,QA Notes/Suggestions for Spanish Personality,,,,KEY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,english,eos-app-com.endlessm.endless-english,eos-english,,Learn English,Endless App,Various,Education,Yes,,0,x,,,,,,,"Our English Application helps our users learn and master English through a variety of fun and interactive games, lessons, and activities.  English proficiency is an invaluable skill in our market, but oftentimes English education is weak. This application bridges that gap, teaching our users Endless how they want to learn -- with videos, song lyrics, and games.",,,,Learn English,Learn or improve your English while having fun,"Ready to take your English to a new level? Have fun and learn a new skill by playing games, listening to your favorites songs with lyrics, and watching interesting videos. Sometimes all it takes is a push in the right direction, and with our app, you’ll learn about resources that can help you improve your English and take you to new opportunities.",,Aprende Inglés,¡Aprende o mejora tu inglés mientras divirtiéndote!,"¿Listo para llevar tu inglés a otro nivel? Diviértete aprendiendo una nueva habilidad mientras juegas, escuchas tus canciones favoritas con letras, y ves videos interesantes. Algunas veces sólo falta un empujoncito en la dirección correcta, y con esta app, aprenderás sobre los recursos que te pueden ayudar a mejorar tu inglés y darte nuevas oportunidades.",,Aprenda Inglês,Aprenda ou evolua o seu Inglês enquanto você se diverte,"Pronto para levar o seu Inglês à um novo nível? Divirta-se e aprenda uma nova habilidade jogando jogos, ouvindo suas músicas favoritas com letras, e assistindo vídeos interessantes. Às vezes, tudo o que precisamos é de um empurrão na direção certa, e com nosso aplicativo você vai aprender sobre os recursos que podem ajudá-lo a melhorar o seu Inglês e levá-lo a novas oportunidades.",,"Second sentence still has the oxford comma, which is not used in Spanish- remove comma before ""y ves videos interesantes""",,,,Good to go (5)
,photos,eos-app-com.endlessm.photos,eos-photos %f,,Photo Editor,Endless App,Endless,Photos,Yes,,0,x,,,,,,,Engaging and intuitive photo application. Apply Instagram-like filters to customize your photos and post them directly to Facebook.,,,,Photo Editor,Edit your pictures and create beautiful images that you can share with all your friends,"Have you ever wanted to edit your own photos like the pros and create beautiful images you can share with those you love? Well, now you can do that in just a few steps! We have a variety of attractive, artful filters so you can customize your photos and create one-of-a-kind works of art from your everyday life. And with this handy app, you can post your creations directly to Facebook, so everyone can see your photography skills!",,Editor de Fotos,Edita tus fotos y crea imágenes bellas que podrás compartir con todos tus amigos,"¿Quieres modificar tus propias fotos como los profesionales y crear lindas imágenes para compartir con tus seres queridos? ¡Ahora puedes hacerlo en unos pocos pasos! Tenemos una variedad de filtros atractivos y artísticos para que personalices tus fotos y hagas obras de arte de tu vida diaria. Y con esta útil app, puedes publicar tus fotos directamente en Facebook, para que todos puedan ver tus habilidades fotográficas.",,Editor de Fotos,Edite as suas fotografias e crie belas imagens para compartilhar com todos os seus amigos,"Alguma vez você quis editar suas próprias fotos como os profissionais e criar belas imagens para compartilhar com as pessoas que você ama? Bem, agora você pode fazer isso em poucos passos! Temos uma grande variedade de atrativos, filtros artísticos para que você possa personalizar suas fotos e criar verdadeiras obras de arte da sua própria vida. E com este aplicativo acessível , você pode enviar suas criações diretamente para o Facebook, para que todos possam ver suas habilidades fotográficas!",,,,,4,"Approved, not developed (4)"
,translate,eos-app-com.endlessm.endless-translation,eos-translation,,Translate,Endless App,Endless,"Education, Office",Yes,,0,x,,,,,,,"The Endless Translation Application is a quick and simple way for users to translate from one language to another. The simple interface makes this application easy and delightful to use.
",,,,Translate,Translate text between many languages instantly,"Translating from one language to another is a great way to bridge across cultures. It’s also important in many day-to-day activities in our increasingly globalized world. With the Translate app, you can understand and be understood in virtually any language. The app features an easy-to-understand setup so that you can use it without any trouble or hassle. It’s delightfully simple. Make new connections – and even new friends – with the world’s languages at your fingertips.",,¡Traduce!,Traduce entre varios idiomas instantáneamente,"Traducir de un idioma a otro sirve para crear puentes entre culturas. También es importante en muchas actividades diarias en nuestro mundo globalizado. Con la app de Traducción, puedes entender y ser entendido en casi cualquier idioma. La app tiene una estructura fácil de comprender para que la puedas usar sin problemas ni molestias. Es muy simple. Haz nuevas conexiones - y hasta nuevas amistades - con los idiomas del mundo al tu alcance.",,Tradutor,Traduz rapidamente textos em várias línguas,"A tradução de um idioma para outro é uma boa maneira de unir culturas. Ela também é importante em muitas atividades do dia-a-dia em nosso mundo cada vez mais globalizado. Com o app Tradutor você consegue entender e ser compreendido em praticamente qualquer idioma. O app apresenta configuração de fácil compreensão, assim você pode usá-lo sem qualquer dificuldade. É agradavelmente simples. Faça novas conexões - e até mesmo novos amigos - com os idiomas do mundo na ponta de seus dedos.",,"In the longer description's last sentence there is a typo that should be: ""a tu alcance.""",,,3,Proposed for next release (3)
,weather,eos-app-com.endlessm.endless-weather,eos-weather,,Weather,Endless App,Endless,"Network, News",Yes (need internet access though),,4,x,,,,,,,Know the weather in your location with the click of a button with this easy to use Weather Application.,,,,Weather,Get daily local forecasts from trusted sources,"“How’s the weather out there?” Answer this question easily, every day, with the click of a button. This simple weather app allows you to see what’s happening right outside your door. Will it be chilly? Should you plan for rain? Is it a perfect day to spend outdoors? Learn all you need to know about the weather to to take advantage of your day!",,Pronóstico,Pronósticos locales diarios de fuentes confiables,"¿Cómo está el clima allí? Responde a esta pregunta fácilmente, todos los días, con el clic de un botón. Esta sencilla app te permite ver lo que está pasando justo afuera de tu casa. ¿Hará frío? ¿Deberás prepararte para la lluvia? ¿Es un día perfecto para pasarlo al aire libre? ¡Infórmate sobre todo lo que necesitas saber acerca del clima para aprovechar tu día!",,Tempo,Receba diáriamente previsões do tempo de fontes seguras,"Como está o clima lá fora? Responda a essa pergunta facilmente, todos os dias, com o clique de um botão. Este app despretensioso de clima permite que você veja o que está acontecendo do lado de fora de sua porta. O tempo estará frio? Preciso me preparar para a chuva? Está um dia perfeito para ficar ao ar livre? Fique por dentro de tudo o que você precisa saber sobre o clima e tire maior proveito do seu dia! ",,"In the picture preview of the app the sentence reads, ""El pronostico para hoy de Niterói es de rainy y 27 C"" where the word rainy is not translated to spanish.",,,2,Questions about content source (2) 
,typing,eos-app-com.endlessm.typing,eos-typing,,Typing,Endless App,Endless,"Education, Games",Yes,,1,x,,,,,,,"Our Typing Application teaches users how to use a keyboard and develop muscle memory by showing them where to place their hands on the board as they try to type the lyrics to their favorite songs. By gamifying the experience, this application is a fun way to learn a valuable skill. ",,,,Typing,Learn to type with games and songs,"Typing is a valuable skill in almost any educational or professional environment. But did you know it could be a whole lot of fun, too? With engaging games, this typing application will teach you to use a keyboard effectively, as well as help you develop typing muscle memory. And the best part is, you’ll learn this useful skill by typing the lyrics to your favorite songs! What could be more entertaining than following along with the songs you love, all the while gaining a great new ability?",,Teclear,Aprende a teclear con juegos y canciones,"Escribir a máquina es una habilidad muy valiosa en casi cualquier ambiente educativo o profesional. ¿Pero sabías que también puede ser muy divertido? Con juegos interesantes, esta app de escritura a máquina te enseñará a usar el teclado efectivamente y poder usar el teclado sin verlo. ¡Y lo mejor es que aprenderás esta habilidad tecleando la letra de tus canciones favoritas! ¿Qué podría ser más entretenido que aprender las letras de las canciones que te gustan, a la vez que aprendes una nueva y excelente habilidad?",,Digitando,Aprenda a digitar com jogos e músicas,"A digitação é uma habilidade valorizada em praticamente qualquer ambiente educacional e profissional. Mas você sabia que também pode ser muito divertida? Com jogos estimulantes, este aplicativo de digitação irá ensiná-lo a usar o teclado com eficiência e ajudá-lo a desenvolver memória muscular para digitação. E o melhor, você irá aprender esta importante habilidade digitando as letras de suas músicas preferidas! O que pode ser mais legal do que acompanhar as músicas que você adora e ao mesmo tempo ganhar uma nova habilidade?",,,,,1,For a later date (1)
,wikipedia,eos-app-com.endlessm.wikipedia,eos-wikipedia,,Wikipedia,Endless App,Wikipedia,Education,Yes,,1,x,,,,,,,"Explore the world’s information, online or offline, with our Wikipedia Application. It is intuitively designed and provides users with an easy way to access this full encyclopedia, searching topics of their choice with the simple search tool.",,,,Wikipedia,The free encyclopedia that anyone can edit,"Whether you’re working online or offline, you want access to the world’s treasure trove of information – Wikipedia. With the Wikipedia app, you’ll have just that. Use the easy search tool to look up any topic you want, and you’ll be able to read the encyclopedia entry on that topic. You’ll learn more than you ever thought possible with access to the Internet's greatest informational resource.",,Wikipedia,La enciclopedia libre más grande del mundo,"Ya sea que estés trabajando con o sin conexión a la Internet, necesitas acceso al tesoro de información más grande del mundo - Wikipedia. Con la app de Wikipedia, precisamente tendrás eso. Busca sobre cualquier tema que quieras y podrás leer el articulo de la enciclopedia sobre ese tema. Aprenderás más de lo que creíste posible con este recurso invaluable.",,Wikipédia,A enciclopédia livre que todos podem editar,"Não importa de você está trabalhando online ou offline, você quer acesso ao tesouro do mundo da informação - Wikipédia. Com o aplicativo Wikipédia, você vai ter justamente isso. Use a fácil ferramenta de busca para procurar qualquer assunto que você quiser, e você vai ser capaz de ler o que existe na enciclopédia sobre o assunto. Você vai aprender mais do que você jamais imaginou ser possível com o acesso à maior fonte de informação da Internet.",,,,,,
,programming,eos-app-com.endlessm.programming,eos-programming,,Coding Fun,Endless App,Endless,Education,Yes,,0,x,,,,,,,"The Endless Programming Application is designed to spark students’ interest in learning computer science and coding skills. It works by seeding students with code that allows them to do interesting things in an interactive environment. The goal is to guide learners through the process of discovering what programming really means, the way that most great engineers learn to program.",,,,Coding Fun,Learn to program computers by creating your own video games,"Do you like playing video games? Then why not create your own? Learn valuable programming and coding skills with this fun application that lets you change the rules of video games to make them your own! See what happens when you change lines of code and progress through levels to keep learning more and more about how to code. You'll soon find out that learning how to program allows you not only to change the world inside your games, but also your very own! ",,Código Divertido,Aprende a programar computadoras mientras creas tus propios videojuegos,"¿Te gusta jugar videojuegos? ¿Entonces por qué no crear el tuyo propio? Aprende a programar y codificar con esta app divertida que te permite cambiar las reglas de los videojuegos ¡para hacerlos tuyos! Mira lo que sucede cuando cambias líneas de código y progresas a través de niveles para seguir aprendiendo más y más sobre cómo codificar. Pronto te darás cuenta de que aprender a programar te permite no sólo a cambiar el mundo dentro de tus juegos, ¡sino que también el tuyo!",,Código Divertido,Aprende a programar computadores criando os seus próprios jogos,"Você curte jogar vídeo game? Então por que não criar um você mesmo? Aprenda habilidades diferenciadas de programação e códigos com este aplicativo divertido que permite mudar as regras de jogos eletrônicos para torná-los só seus! Veja o que acontece quando você altera linhas de código e progride de nível para continuar aprendendo mais e mais sobre como fazer códigos. Você logo irá descobrir que aprender a programar permite que você não somente mude tudo dentro dos jogos, mas que também crie o seu!",,,,,,
